6890-DVT0161720-01,,,,
ITEM NO.,QTY.,LENGTH,DESCRIPTION,PART NUMBER
1,1,,BUSHING 3.0"MNPT X 1.5"FNPT,3002-3015-025
2,2,,ELBOW 1.5" 90° FNPT,3012-0150-025
3,1,,UNION 1.50" FNPT,3031-0150-025
4,1,2.00,NIPPLE 1.5"MNPT X 2.0",3086-1520-025
5,2,2.50,NIPPLE 1.5"MNPT X 2.5",3086-1525-025
6,1,9.58,PIPE 1.50" NOM DIA XSCH40 CS.,5500-0150-000
