$PRPSHEET:"SW-File Name",,,,,,
ITEM NO.,QTY.,Dwg no.,Lchk,LENGTH,DESCRIPTION,PART NUMBER
16.16,3,,,,BUSHING .5"MNPT X .375"FNPT,  3002-0503-025
16.17,3,,7.36,7.36,PIPE .50" NOM DIA XSCH40 CS.,  5500-0050-000
16.18,1,,2.26,,NIPPLE .5"MNPT X 2.5",  3086-0525-025
16.19,15,,1.50,,NIPPLE .5"MNPT X 1.5",  3086-0515-025
16.20,3,,4.00,,NIPPLE .5"MNPT X 4.0",  3086-0540-025
16.21,1,,11.62,11.62,PIPE 1" NOM DIA X SCH40 CS.,  5500-0100-000
16.22,1,,24.38,24.38,PIPE 1" NOM DIA X SCH40 CS.,  5500-0100-000
16.23,2,,18.13,18.13,PIPE 1" NOM DIA X SCH40 CS.,  5500-0100-000
16.24,1,,7.11,7.11,PIPE 1" NOM DIA X SCH40 CS.,  5500-0100-000
16.25,1,,5.39,,NIPPLE 1.0"MNPT X 5.5",  3086-1055-025
16.26,2,,2.87,,NIPPLE 1.0"MNPT X 3.0",  3086-1030-025
16.27,10,,2.00,,NIPPLE 1.0"MNPT X 2.0",  3086-1020-025
16.28,1,,1.50,,NIPPLE 1.0"MNPT X CLOSE,  3086-1000-025
16.29,1,,6.00,,NIPPLE 1.0"MNPT X 6.0",  3086-1060-025
16.30,1,,17.58,17.58,PIPE 1" NOM DIA X SCH40 CS.,  5500-0100-000
16.31,2,,,,VLV BALL 1" FP 2-PC THD BRZ/TF,  7302-0100-000
16.32,3,,,,VLV SWING CHECK .5" THD FNPT BRS/BN,  7320-0050-002
16.33,1,,,,VLV SWING CHECK 1.0"THD FNPT BRS/TF,  7320-0100-000
16.34,3, ,,,VLV GATE .50" THD BRONZE 125#,  7324-0050-000
16.35,1,,,, STRAINER Y 1" THD FNPT CI/304,  6770-0100-000
16.36,1,,,,VLV ANTI-SIPHON 1.00" FNPT BRS/EPDM,  7300-0100-000
16.37,3,,,,VLV BALL .38" SP 2-PC THD BRZ/TF,  7304-0038-000
16.38,3,,,,VLV SOL 2WAY .38" N4 BRS/BN 24VDC 5P,  7334-0038-009
16.39,3,X,,,VLV FLOW CNTL .75GPM .38" FNPT BUNA,  7375-0007-000
17,1,,,,OVERFLOW PIPING CS,6890-ACV0121010-4
17.1,3,,,,ELBOW 1.0" 90°,  3012-0100-025
17.2,1,,,,TEE 1.00" FNPT,  3025-0100-025
17.3,3,,6.00,,NIPPLE 1.0"MNPT X 6.0",  3086-1060-025
17.4,2,,2.00,,NIPPLE 1.0"MNPT X 2.0",  3086-1020-025
17.5,1,,,,BREATHER VENT 1" ZN/SS,  2915-0100-003
18,1,,,,DRAIN/LEVEL GAUGE PIPING CS - LOWER TANK,6890-ACV0121010-5
18.1,2,,,,ELBOW .50" 90°,  3012-0050-025
18.2,3,,,,TEE .5" FNPT,  3025-0050-025
18.3,2,,,,UNION .5" FNPT,  3031-0050-025
18.4,2,,,,PLUG SQ HD CS .5" MNPT,  3085-0050-025
18.5,1,,,,BUSHING 1.0"MNPT X .5"FNPT STEEL,  3002-1005-025
18.6,6,,1.50,,NIPPLE .5"MNPT X 1.5",  3086-0515-025
18.7,1,,4.52,,NIPPLE .5"MNPT X 4.5",  3086-0545-025
18.8,1,,,,GAUGE LVL .5" MNPT 20.5"LG 316SS/POL/T,  3615-0050-019
18.9,1,,,, VLV BALL .5"FNPT FP 2-PC BRZ/TF,  7302-0050-000
18.10,1,,3.27,,NIPPLE .5"MNPT X 3.5",  3086-0535-025
19,1,,,,DRAIN/LEVEL GAUGE PIPING CS - UPPER TANK,6890-ACV0121010-6
19.1,2,,,,UNION .5" FNPT,  3031-0050-025
19.2,3,,,,ELBOW .50" 90°,  3012-0050-025
19.3,3,,,,PLUG SQ HD CS .5" MNPT,  3085-0050-025
19.4,1,,,,BUSHING 1.5"MNPT X .50"FNPT,  3002-1505-025
19.5,1,,,,BUSHING .75"MNPT X .50"FNPT,  3002-0705-025
19.6,3,,,,TEE .5" FNPT,  3025-0050-025
19.7,1,,10.76,10.76,PIPE .50" NOM DIA XSCH40 CS.,  5500-0050-000
