$PRPSHEET:"SW-File Name",,,,,,
ITEM NO.,QTY.,Dwg no.,Lchk,LENGTH,DESCRIPTION,PART NUMBER
2.29.23,2,,,4.37,NIPPLE 1.0"MNPT X 4.5 LG. 316SS,    3086-1045-001
2.29.24,1,,,5.41,NIPPLE 1.0"MNPT X 5.5 LG. 316SS,    3086-1055-001
2.29.25,1,,,5.59,NIPPLE 1.0"MNPT X 5.5 LG. 316SS,    3086-1055-001
2.29.26,1,,,18.42,PIPE 1" NOM DIA X SCH40 316SS,    5500-0100-001
2.29.27,1,,,,STRAINER Y 1.0" THD FNPT 316/316,    6770-0100-001
2.29.28,1,,,,VLV BALL .38" FNPT FP 2-PC 316/TF,    7302-0038-001
2.29.29,1,,,,VLV BALL 1.0" FP 2-PC THD 316/TF,    7302-0100-001
2.29.30,1,,,,VLV SWING CHECK .5" THD FNPT 316/TF,    7320-0050-001
2.29.31,1,,,,VLV SOL 2WAY 1" N4 SS/BN 120V 5PSI ,    7334-0100-025
2.29.32,1,,,,VLV FLOW CNTL 5.0 GPM 1"FNPT SS/BUN,    7375-0050-002
2.29.33,1,,,1.13,NIPPLE .50"MNPT X CLOSE 316SS,    3086-5000-001
2.30,1,,,,VLV BALL 1.0" FP 2-PC THD 316/TF,  7302-0100-001
2.31,1,,,,VLV BUTTERFLY 4.0"LUG CI/SS/EPDM,  7308-0400-002
2.32,1,,,,VLV CK PAN 4" WAF SS/SS/T LT SPRING,  7321-0400-001
2.33,1, ,,,AWS 750 A SSSS BS,  1951002025
3,1,,,,CONTROL PANEL SUBASSEMBLY,ACV0158450-2
3.1,1,2025148,,,BRACKET CNTL PNL 36X36X8 CS,  2730-2025-148
3.1.1,2,,,61.75,TUBING SQ. 2"X2"X1/4"X24FT HR CS,    7215-0200-001
3.1.2,2,,,36,ANGLE 1/4"X2"X2"X20FT A-36 CS,    6600-0025-001
3.1.3,2,,,16.5,STOCK FLAT 1/4"X2"X20FT CS A36,    6652-0025-002
3.1.4,2,,,48.61,TUBING SQ. 2"X2"X1/4"X24FT HR CS,    7215-0200-001
3.2,1,2024383,,,CTRL PNL 40HP 460V VMAX TRIPLEX VFD MED,  2250-1179-340
3.3,2,,,,PLUGS PROTECTIVE 2" SQR POLY,  3842-0200-002
3.4,4,,,,BOLT SERR HEX FLG 7/16-14 X 1,  3800-4310-001
3.5,4,,,,NUT LOCK SERR FLG 7/16-14,  3810-0043-001
3.6,1,,,,FTING .25"MNPTX.25"TUBE 90° COMP CS,  3039-0025-003
3.7,1,,,66,TUBING .25"OD FEP/TEFLN TRANSLUCENT,  7200-0025-001
4,1,,,,VFD SUBASSEMBLY,ACV0158450-3
4.1,2,,,,DRIVE VARIABLE FREQ 40HP 480V,  2672-0400-016
4.2,1,2025413,,,BRACKET VFC MOUNTING,  2728-2025-413
4.2.1,2,,,39.75,TUBING SQ. 2"X2"X1/4"X24FT HR CS,    7215-0200-001
4.2.2,1,,,32,STOCK FLAT 1/4"X2"X20FT CS A36,    6652-0025-002
4.2.3,2,,,14,STOCK FLAT 1/4"X2"X20FT CS A36,    6652-0025-002
4.2.4,2,,,34.79,TUBING SQ. 2"X2"X1/4"X24FT HR CS,    7215-0200-001
4.2.5,1,,,32,STOCK FLAT 1/4"X2"X20FT CS A36,    6652-0025-002
4.3,2,,,,PLUGS PROTECTIVE 2" SQR POLY,  3842-0200-002
4.4,8,,,,BOLT SERR HEX FLG 1/4"-20 X 1-1/2",  3800-2515-004
4.5,8,,,,NUT LOCK SERR FLG 1/4-20,  3810-0025-001
5,1,,,,DISCHARGE MANIFOLD SUBASSEMBLY,ACV0158450-4
5.1,1,,,,FLANGE BLIND 4" 150# 316SS W/RF,  3210-0400-001
5.2,1,2025412,,,INTAKE MANIFOLD SS,  6875-2025-412
5.2.1,2,,,,ELBOW 4" SR 90° BUTT WELD SCH40 316,    3012-0400-001
5.2.2,2,,,,REDUCER CONC 6" X 4" BUTWD S40 316,    3020-6040-001
5.2.3,1,,,,TEE 6.00" BUTTWLD SCH40 316SS,    3025-0600-001
5.2.4,3,,,,FLANGE SLIP-ON 4.0" 150# 316 W/RF,    3214-0400-001
5.2.5,1,,,,FLANGE SLIP-ON 6.0" 150# 316 W/RF,    3214-0600-001
5.2.6,2,,,17.88,PIPE 4" NOM DIA X SCH40 316SS,    5500-0400-002
5.2.7,2,,,4.75,PIPE 4" NOM DIA X SCH40 316SS,    5500-0400-002
5.2.8,1,,,6.63,PIPE 4" NOM DIA X SCH40 316SS,    5500-0400-002
5.2.9,1,,,2.75,PIPE 6" NOM DIA X SCH 40 316SS,    5500-0600-004
5.2.10,1,,,,CPLG .25" FNPT HALF 150# 316SS,    3004-0025-001
5.3,1,,,,BOLT SET FOR 4" 150# FLG ZINC PLTD,  3775-0400-001
5.4,1,,,,FTING .25"MNPTX.25"TUBE STR COMP CS,  3038-0025-003
5.5,1,,,,GASKET PTFE  6.88" ODX4.50" ID X.12",  3510-0400-001
6,1,,,,TANK SUBASSEMBLY,ACV0158450-5
6.1,1,,,,RECEIVER TANK VERT 60 GAL CS ASME,  6004-0060-009
6.2,1,,,,VALVE VAC RELIEF 1.25" ADJ  100SCFM SS,  7342-0125-007
6.3,1,,,,DRAIN PIPING SS,  6890-ACV0158450-2
6.3.1,1,,,,BUSHING .38"MNPT X .25"FNPT 316SS,    3002-3825-001
6.3.2,1,,,,BUSHING .50"MNPT X .38"FNPT 316SS,    3002-5038-001
6.3.3,1,,,,ELBOW .38" SR 90° FNPT 150# 316SS,    3012-0038-001
6.3.4,1,,,,TEE .25" FNPT 150# 316SS,    3025-0025-001
6.3.5,1,,,,TEE .38" FNPT 150# 316SS,    3025-0038-001
6.3.6,2,,,,FTNG STR .38"MNPTX.38"TUBE BRS PUSH,    3038-0038-001
6.3.7,1,,8.88,8.88,PIPE .25" NOM DIA XSCH40 316SS,    5500-0025-001
6.3.8,1,,0.88,,NIPPLE .25"MNPT X CLOSE 316SS,    3086-2500-002
6.3.9,1,,10.94,10.94,PIPE .25" NOM DIA XSCH40 316SS,    5500-0025-001
6.3.10,1,,1.00,,NIPPLE .38"MNPT X CLOSE 316SS,    3086-3800-001
6.3.11,1,,,16.04,TUBING .38" OD FEP/TEFLN TRANSLUCNT,    7200-0038-001
6.3.12,1,,,,VLV BALL .25" FP 2-PC THD 316/TF,    7302-0025-001
6.3.13,1,,,,SQ PLUG .38" MNPT 150# 316SS,    3085-0038-001
6.3.14,1,,,,SQ HD PLUG .25" MNPT 150# 316SS,    3085-0025-001
6.4,1, ,,,GAUGE COMP 15/0/30"PSI/HGV FILLED SS,  3605-0025-011
6.5,1,,,,BUSHING .50"MNPT X .25"FNPT 316SS,  3002-5025-001
6.6,1,,,,SQ HD PLUG .75" MNPT 150# 316SS,  3085-0075-001
6.7,1,,,,SQ HD PLUG .25" MNPT 150# 316SS,  3085-0025-001
7,1,,,,PIPE SUPPORT BRACKET SUBASSEMBLY,ACV0158450-6
7.1,2,2025575,,,BRACKET - PIPE SUPPORT,  2728-2025-575
7.1.1,1,,,26,ANGLE 1/4"X3"X3"X20FT A-36 CS,    6600-0025-004
7.1.2,1,,,55.88,ANGLE 1/4"X3"X2"X20FT A-36 CS,    6600-0025-008
7.1.3,1,,,49,ANGLE 1/4"X3"X2"X20FT A-36 CS,    6600-0025-008
7.1.4,1,,,5.5,ANGLE 1/4"X3"X2"X20FT A-36 CS,    6600-0025-008
7.2,1,2025576,,,BRACKET - PIPE SUPPORT,  2728-2025-576
7.2.1,1,,,74,ANGLE 1/4"X3"X2"X20FT A-36 CS,    6600-0025-008
7.3,3,,,,U-BOLT 4.5"ID 1/2-13 UNC 4" PIPE ZN,  3825-0400-000
7.4,2,,,,BOLT SERR HEX FLG 1/2-13 X 1.5,  3800-5015-001
7.5,2,,,,NUT LOCK SERR FLG 1/2-13,  3810-0050-001
